source,published,title,link
wallstreetjournal,"18 Aug, 07:32",U.S. Stock Futures Tick Higher Ahead of Housing Numbers,https://www.wsj.com/articles/global-stock-markets-dow-update-8-18-2020-11597741921
wallstreetjournal,"18 Aug, 07:03",Mortgage Industry in for More Surprises,https://www.wsj.com/articles/mortgage-industry-in-for-more-surprises-11597748583
wallstreetjournal,"18 Aug, 06:46",A Chinese Power Stock With a Mighty Tailwind,https://www.wsj.com/articles/a-chinese-power-stock-with-a-mighty-tailwind-11597745501
wallstreetjournal,"18 Aug, 05:30",Looking to Refinance? Those Rock-Bottom Mortgage Rates Aren't for You,https://www.wsj.com/articles/looking-to-refinance-those-rock-bottom-mortgage-rates-arent-for-you-11597743002
wallstreetjournal,"18 Aug, 04:54",Selloff in Emerging-Market Currencies Shows No Sign of Respite,https://www.wsj.com/articles/selloff-in-emerging-market-currencies-shows-no-sign-of-respite-11597740870
wallstreetjournal,"17 Aug, 18:35",State Panel to Investigate Complaints of Calpers Investment Conflict,https://www.wsj.com/articles/calpers-faces-questions-following-investing-veterans-abrupt-exit-11597656601
wallstreetjournal,"17 Aug, 17:02",S&P 500 Finishes Just Shy of Record,https://www.wsj.com/articles/global-stock-markets-dow-update-8-17-2020-11597653830
wallstreetjournal,"17 Aug, 16:24",Warren Buffett's Berkshire Hathaway Joins the Gold Rush,https://www.wsj.com/articles/warren-buffetts-berkshire-hathaway-joins-the-gold-rush-11597682998
wallstreetjournal,"17 Aug, 14:21",Revival of Brazil's Corporate-Bond Market Lures Foreign Investors,https://www.wsj.com/articles/revival-of-brazils-corporate-bond-market-lures-foreign-investors-hunting-for-yield-11597688499
wallstreetjournal,"17 Aug, 13:35","Home Builders Enjoy Covid Immunity, For Now",https://www.wsj.com/articles/home-builders-enjoy-covid-immunity-for-now-11597685729
wallstreetjournal,"17 Aug, 13:09",Q&A: Why Warren Buffett Is Making a Bet on Gold,https://www.wsj.com/articles/why-gold-prices-high-warren-buffet-11597691966
wallstreetjournal,"17 Aug, 12:40",Protests by Belarus Potash Miners Pressure President,https://www.wsj.com/articles/strike-in-belarus-by-potash-miners-pressures-president-clouds-commodity-market-11597682443
wallstreetjournal,"17 Aug, 11:48",Stock Rally Gives Commodities New Shine,https://www.wsj.com/articles/stock-rally-gives-commodities-new-shine-11597669580
wallstreetjournal,"17 Aug, 09:52","Bidding Up a Covid-19 Vaccine for Thee, Not for Me",https://www.wsj.com/articles/bidding-up-a-covid-19-vaccine-for-thee-not-for-me-11597672334
wallstreetjournal,"17 Aug, 09:24",Get a Car Deal With Fiat Chrysler,https://www.wsj.com/articles/get-a-car-deal-with-fiat-chrysler-11597670645
wallstreetjournal,"17 Aug, 07:14","China Is on a Diet, but Food Shares Look Tasty",https://www.wsj.com/articles/china-is-on-a-diet-but-food-shares-look-tasty-11597662849
wallstreetjournal,"17 Aug, 06:42",Landlord Policy Is Pandemic Policy Now,https://www.wsj.com/articles/landlord-policy-is-pandemic-policy-now-11597660933
wallstreetjournal,"17 Aug, 05:30",Coronavirus Claims Hurt Shares of European Insurers,https://www.wsj.com/articles/coronavirus-claims-hurt-shares-of-european-insurers-11597656600
wallstreetjournal,"17 Aug, 04:13",Indian Miner Offers Over 13% Yield to Sell Junk Debt,https://www.wsj.com/articles/indian-miner-offers-over-13-yield-to-sell-junk-debt-11597651993
wallstreetjournal,"16 Aug, 12:00",Cyclical Stocks Are Leading the Latest Leg of the Market's Recovery,https://www.wsj.com/articles/cyclical-stocks-are-leading-the-latest-leg-of-the-markets-recovery-11597593600
nytimes,"17 Aug, 09:00",The Recession Is About to Slam Cities. Not Just the Blue-State Ones.,https://www.nytimes.com/2020/08/17/upshot/pandemic-recession-cities-fiscal-shortfall.html
nytimes,"14 Aug, 21:50","Retail Sales Rise for Third Month, Though Growth Slows",https://www.nytimes.com/2020/08/14/business/retail-sales-coronavirus.html
nytimes,"14 Aug, 19:03",State and Local Budget Pain Looms Over Economy’s Future,https://www.nytimes.com/2020/08/14/business/economy/state-local-budget-pain.html
nytimes,"14 Aug, 00:16","$400 Unemployment Stimulus Is Really $300, and Won’t Arrive Soon",https://www.nytimes.com/2020/08/13/business/economy/unemployment-benefits-coronavirus.html
nytimes,"13 Aug, 21:13",Oracle Pay Bias Case: Trump’s Labor Chief Accused of Intervening,https://www.nytimes.com/2020/08/13/business/economy/oracle-settlement-scalia.html
nytimes,"13 Aug, 18:09","In Europe, Millions of Jobless Are Falling Through the Cracks",https://www.nytimes.com/2020/08/13/business/europe-precarious-workers.html
nytimes,"12 Aug, 21:48",Bankrupt Brooks Brothers Agrees to Sale to Simon Property and Authentic Brands,https://www.nytimes.com/2020/08/12/business/brooks-brothers-sale-authentic-brands.html
nytimes,"12 Aug, 13:26",Trump’s Push to Cut Payroll Taxes Opens a Democratic Line of Attack,https://www.nytimes.com/2020/08/11/us/politics/trump-payroll-tax-social-security.html
nytimes,"12 Aug, 05:53",Covering the Housing Market at a Tipping Point,https://www.nytimes.com/2020/08/12/insider/housing-evictions.html
nytimes,"11 Aug, 21:54",Retail Chains Abandon Manhattan: ‘It’s Unsustainable’,https://www.nytimes.com/2020/08/11/nyregion/nyc-economy-chain-stores.html
nytimes,"11 Aug, 15:24",Trump's Payroll Tax Holiday Order Gives Employers a New Dilemma,https://www.nytimes.com/2020/08/10/business/economy/trump-payroll-tax-holiday.html
nytimes,"11 Aug, 02:00","C.E.O.s Pledge to Hire 100,000 Low-Income and Minority New Yorkers",https://www.nytimes.com/2020/08/10/business/coronavirus-new-york-city-minority-workers.html
nytimes,"10 Aug, 18:43",Start-Ups Braced for the Worst. The Worst Never Came.,https://www.nytimes.com/2020/08/10/technology/start-ups-pandemic-silicon-valley.html
nytimes,"10 Aug, 04:32",Trump’s Orders on Coronavirus Relief Create Confusion,https://www.nytimes.com/2020/08/09/us/politics/trump-stimulus-bill-coronavirus.html
nytimes,"08 Aug, 22:20","Without $600 Weekly Benefit, Unemployed Face Bleak Choices",https://www.nytimes.com/2020/08/08/business/economy/lost-unemployment-benefits.html
nytimes,"08 Aug, 01:44",Trump’s Orders on WeChat and TikTok Are Uncertain. That May Be the Point.,https://www.nytimes.com/2020/08/07/business/economy/trump-executive-order-tiktok-wechat.html
nytimes,"08 Aug, 00:30",Millions of Evictions Are a Sharper Threat as Government Support Ends,https://www.nytimes.com/2020/08/07/business/economy/housing-economy-eviction-renters.html
nytimes,"08 Aug, 00:28","Job Growth Slowed in July, Signaling a Loss of Economic Momentum",https://www.nytimes.com/2020/08/07/business/economy/july-jobs-report.html
nytimes,"07 Aug, 18:19",Oversight Member Blasts the Fed’s Efforts to Rescue Main Street,https://www.nytimes.com/2020/08/07/business/economy/federal-reserve-main-street-lending.html
nytimes,"07 Aug, 15:11",Why Black Workers Will Hurt the Most if Congress Doesn’t Extend Jobless Benefits,https://www.nytimes.com/2020/08/07/upshot/unemployment-benefits-racial-disparity.html
nasdaq,"18 Aug, 11:41",How The Parts Add Up: SPVM Targets $40,https://www.nasdaq.com/articles/how-the-parts-add-up%3A-spvm-targets-%2440-2020-08-18
