source,published,title,link
yahoo,"18 Aug, 07:06","Walmart Q2 earnings soar, led by nearly 100% surge in e-commerce",https://finance.yahoo.com/news/walmart-q2-earnings-results-110617852.html
yahoo,"18 Aug, 06:04",Embrace the uncertainty: Morning Brief,https://finance.yahoo.com/news/stock-market-elections-embrace-the-uncertainty-morning-brief-100455932.html
yahoo,"18 Aug, 05:51","It&#39,s no longer a &#39,bear market rally&#39, - BofA survey",https://finance.yahoo.com/news/no-longer-bear-market-rally-095137734.html
yahoo,"18 Aug, 03:27","Gilead ‘Very Pleased’ With Tango Collab, Boosts Cancer Targets To 15",https://finance.yahoo.com/news/gilead-very-pleased-tango-collab-072720240.html
yahoo,"18 Aug, 00:16",Trump Just Took the Nuclear Option on Huawei,https://finance.yahoo.com/news/trump-just-took-nuclear-option-041604554.html
yahoo,"17 Aug, 23:09","Gold Price Forecast &#8211, Critical Price Levels for The Next 48-Hours",https://finance.yahoo.com/news/gold-price-forecast-critical-price-030918977.html
yahoo,"17 Aug, 22:49","Boeing to offer second layoff plan, CEO Calhoun sees smaller market ahead",https://finance.yahoo.com/news/boeing-offer-second-layoff-plan-024941944.html
yahoo,"17 Aug, 19:01",Bezos And Blackrock Are Pouring Billions Into This $30.7 Trillion Trend,https://finance.yahoo.com/news/bezos-blackrock-pouring-billions-30-230100473.html
yahoo,"17 Aug, 18:25",300 Pizza Hut locations closing after franchisee files for bankruptcy,https://finance.yahoo.com/news/300-pizza-hut-locations-closing-222506432.html
yahoo,"17 Aug, 16:51","Amazon could be worth up to $5,000/share, says analyst",https://finance.yahoo.com/video/amazon-could-worth-5-000-205120307.html
yahoo,"17 Aug, 16:01",Curaleaf Reports Record Second Quarter 2020 Financial and Operational Results,https://finance.yahoo.com/news/caribbean-utilities-company-ltd-announces-022300769.html
yahoo,"17 Aug, 15:30",Billionaire Steven Cohen Pulls the Trigger on These 3 Penny Stocks,https://finance.yahoo.com/news/billionaire-steven-cohen-pulls-trigger-193037220.html
yahoo,"17 Aug, 15:09","We&#39,re Hopeful That Vaxart (NASDAQ:VXRT) Will Use Its Cash Wisely",https://finance.yahoo.com/news/were-hopeful-vaxart-nasdaq-vxrt-190953945.html
yahoo,"17 Aug, 15:04","Should You Think About Buying VMware, Inc. (NYSE:VMW) Now?",https://finance.yahoo.com/news/think-buying-vmware-inc-nyse-190416123.html
yahoo,"17 Aug, 11:45","Stocks on the move: Sorrento Therapeutics falls on coronavirus test competition, Carnival begins sailing in Germany",https://finance.yahoo.com/video/stocks-move-sorrento-therapeutics-falls-154544454.html
yahoo,"17 Aug, 11:20","3 Big Dividend Stocks Yielding Over 8%, Analysts Say Buy",https://finance.yahoo.com/news/3-big-dividend-stocks-yielding-152041439.html
yahoo,"17 Aug, 09:43",2 “Strong Buy” Stocks Insiders Are Snapping Up,https://finance.yahoo.com/news/2-strong-buy-stocks-insiders-134305474.html
yahoo,"17 Aug, 08:59",The Arbutus Biopharma (NASDAQ:ABUS) Share Price Is Up 136% And Shareholders Are Boasting About It,https://finance.yahoo.com/news/arbutus-biopharma-nasdaq-abus-share-125943113.html
yahoo,"17 Aug, 08:20","Joe Biden&#39,s 2020 tax plan: The key points",https://finance.yahoo.com/news/joe-bidens-2020-tax-plan-122021635.html
yahoo,"16 Aug, 13:12","How will the stock market react if Democrats win the White House and Senate? Here&#39,s what history suggests.",https://finance.yahoo.com/news/stock-market-react-democrats-win-170022350.html
wallstreetjournal,"18 Aug, 05:30",Coronavirus Outbreak Flummoxes New Zealand---'Everyone Is Anxious',https://www.wsj.com/articles/coronavirus-outbreak-flummoxes-new-zealandeveryone-is-anxious-11597743005
wallstreetjournal,"17 Aug, 16:49",Coronavirus Cases Surge in Beirut After Explosion,https://www.wsj.com/articles/after-beirut-explosion-lebanon-faces-surge-in-coronavirus-cases-11597697343
wallstreetjournal,"17 Aug, 14:50",China Seeks to Use Access to Covid-19 Vaccines for Diplomacy,https://www.wsj.com/articles/china-seeks-to-use-access-to-covid-19-vaccines-for-diplomacy-11597690215
wallstreetjournal,"17 Aug, 11:11",Japan's Economic Backslide Likely to Take Years to Reverse,https://www.wsj.com/articles/japans-economic-backslide-likely-to-take-years-to-reverse-11597677081
wallstreetjournal,"17 Aug, 10:38","China's CDC, Built to Stop Pandemics  Like Covid, Stumbled When It Mattered Most",https://www.wsj.com/articles/chinas-cdc-built-to-stop-pandemics-stumbled-when-it-mattered-most-11597675108
wallstreetjournal,"17 Aug, 00:01",Canada Finance Minister Steps Down Amid Charity Uproar,https://www.wsj.com/articles/canada-finance-minister-steps-down-amid-charity-uproar-11597709798
nytimes,"18 Aug, 11:25",Covid-19 News: Live Updates,https://www.nytimes.com/2020/08/18/world/covid-19-coronavirus.html
nytimes,"18 Aug, 11:20",Former Deputy Mayor of Paris Under Investigation in Rape of Minor,https://www.nytimes.com/2020/08/18/world/Christophe-Girard-rape-Paris-deputy-mayor.html
nytimes,"18 Aug, 10:41","Court Issuing Hariri Assassination Verdicts, but Few Expect Justice",https://www.nytimes.com/2020/08/18/world/middleeast/hariri-assassination-trial-hague.html
nytimes,"18 Aug, 10:30",A Century of Suffrage,https://www.nytimes.com/2020/08/18/briefing/postal-service-michelle-obama-belarus-your-tuesday-briefing.html
nytimes,"18 Aug, 09:44",Cai Xia Was A Communist Party Insider in China. Then She Denounced Xi.,https://www.nytimes.com/2020/08/18/world/asia/china-cai-xia-expelled-communist-party.html
nytimes,"18 Aug, 08:21","Beaten Back, the Coronavirus Regains Strength in France",https://www.nytimes.com/2020/08/17/world/europe/france-coronavirus.html
nytimes,"18 Aug, 08:02",Canada Finance Minister Quits Post Amid Charity Scandal,https://www.nytimes.com/2020/08/17/world/canada/finance-minister-resigns-trudeau.html
nytimes,"18 Aug, 05:25","Belarus, Coronavirus, A-Levels: Your Tuesday Briefing",https://www.nytimes.com/2020/08/18/briefing/belarus-coronavirus-a-levels.html
nytimes,"18 Aug, 02:58","New Zealand Election, Japan’s Economy, Belarus: Your Tuesday Briefing",https://www.nytimes.com/2020/08/17/briefing/new-zealand-election-japan-economy-belarus.html
nytimes,"18 Aug, 02:56","Struggling With Lockdown, Schools Relearn Value of Older Tech: TV",https://www.nytimes.com/2020/08/17/world/coronavirus-television-schools.html
nytimes,"18 Aug, 01:35",Trump’s Attacks on TikTok and WeChat Could Further Fracture the Internet,https://www.nytimes.com/2020/08/17/technology/trump-tiktok-wechat-ban.html
